,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,5575-GNVDE,Male,FALSE,FALSE,FALSE,34,TRUE,FALSE,DSL,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,One year,FALSE,Mailed check,56.95000076,1889.5,FALSE
2,3668-QPYBK,Male,FALSE,FALSE,FALSE,2,TRUE,FALSE,DSL,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Month-to-month,TRUE,Mailed check,53.84999847,108.1500015,TRUE
3,9237-HQITU,Female,FALSE,FALSE,FALSE,2,TRUE,FALSE,Fiber optic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Month-to-month,TRUE,Electronic check,70.69999695,151.6499939,TRUE
4,9305-CDSKC,Female,FALSE,FALSE,FALSE,8,TRUE,TRUE,Fiber optic,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Month-to-month,TRUE,Electronic check,99.65000153,820.5,TRUE
5,1452-KIOVK,Male,FALSE,FALSE,TRUE,22,TRUE,TRUE,Fiber optic,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Month-to-month,TRUE,Credit card (automatic),89.09999847,1949.400024,FALSE
6,7892-POOKP,Female,FALSE,TRUE,FALSE,28,TRUE,TRUE,Fiber optic,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Month-to-month,TRUE,Electronic check,104.8000031,3046.050049,TRUE
7,6388-TABGU,Male,FALSE,FALSE,TRUE,62,TRUE,FALSE,DSL,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,One year,FALSE,Bank transfer (automatic),56.15000153,3487.949951,FALSE
8,9763-GRSKD,Male,FALSE,TRUE,TRUE,13,TRUE,FALSE,DSL,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Month-to-month,TRUE,Mailed check,49.95000076,587.4500122,FALSE
9,8091-TTVAX,Male,FALSE,TRUE,FALSE,58,TRUE,TRUE,Fiber optic,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,One year,FALSE,Credit card (automatic),100.3499985,5681.100098,FALSE
10,0280-XJGEX,Male,FALSE,FALSE,FALSE,49,TRUE,TRUE,Fiber optic,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Month-to-month,TRUE,Bank transfer (automatic),103.6999969,5036.299805,TRUE
11,5129-JLPIS,Male,FALSE,FALSE,FALSE,25,TRUE,FALSE,Fiber optic,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Month-to-month,TRUE,Electronic check,105.5,2686.050049,FALSE
12,3655-SNQYZ,Female,FALSE,TRUE,TRUE,69,TRUE,TRUE,Fiber optic,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Two year,FALSE,Credit card (automatic),113.25,7895.149902,FALSE
13,9959-WOFKT,Male,FALSE,FALSE,TRUE,71,TRUE,TRUE,Fiber optic,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Two year,FALSE,Bank transfer (automatic),106.6999969,7382.25,FALSE
14,4190-MFLUW,Female,FALSE,TRUE,TRUE,10,TRUE,FALSE,DSL,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Month-to-month,FALSE,Credit card (automatic),55.20000076,528.3499756,TRUE
15,4183-MYFRB,Female,FALSE,FALSE,FALSE,21,TRUE,FALSE,Fiber optic,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Month-to-month,TRUE,Electronic check,90.05000305,1862.900024,FALSE
