,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,0,0,0,0.464788732,1,0,1,0,1,0,0,0,0,0.383616385,0.216228869,0,1,0,0,0,1,0,0,0,0,1
2,0,0,0,0,0.014084507,1,0,1,1,0,0,0,0,1,0.352647332,0.010322208,1,1,0,0,1,0,0,0,0,0,1
3,1,0,0,0,0.014084507,1,0,0,0,0,0,0,0,1,0.520978983,0.015350382,1,0,1,0,1,0,0,0,0,1,0
4,1,0,0,0,0.098591549,1,1,0,0,1,0,1,1,1,0.810189813,0.09266291,1,0,1,0,1,0,0,0,0,1,0
5,0,0,0,1,0.295774648,1,1,0,1,0,0,1,0,1,0.704795179,0.223152726,0,0,1,0,1,0,0,0,1,0,0
6,1,0,1,0,0.38028169,1,1,0,0,1,1,1,1,1,0.86163838,0.349914758,1,0,1,0,1,0,0,0,0,1,0
7,0,0,0,1,0.85915493,1,0,1,1,0,0,0,0,0,0.375624385,0.40099407,0,1,0,0,0,1,0,1,0,0,0
8,0,0,1,1,0.169014085,1,0,1,0,0,0,0,0,1,0.313686317,0.065724608,0,1,0,0,1,0,0,0,0,0,1
9,0,0,1,0,0.802816901,1,1,0,0,1,0,1,1,0,0.81718279,0.654500806,0,0,1,0,0,1,0,0,1,0,0
10,0,0,0,0,0.676056338,1,1,0,1,1,0,1,1,1,0.850649307,0.57996819,1,0,1,0,1,0,0,1,0,0,0
11,0,0,0,0,0.338028169,1,0,1,0,1,1,1,1,1,0.868631356,0.308302274,0,0,1,0,1,0,0,0,0,1,0
12,1,0,1,1,0.957746479,1,1,1,1,1,1,1,1,0,0.946053932,0.910423338,0,0,1,0,0,0,1,0,1,0,0
13,0,0,0,1,0.985915493,1,1,1,0,1,0,1,1,0,0.880619336,0.851137119,0,0,1,0,0,0,1,1,0,0,0
14,1,0,1,1,0.126760563,1,0,0,0,1,1,0,0,0,0.366133868,0.058893221,1,1,0,0,1,0,0,0,1,0,0
15,1,0,0,0,0.281690141,1,0,0,1,1,0,0,1,1,0.714285734,0.213154171,0,0,1,0,1,0,0,0,0,1,0
16,1,0,1,0,0.802816901,1,1,0,1,0,1,0,0,1,0.413086922,0.40297646,0,1,0,0,0,0,1,0,1,0,0
17,0,0,1,1,0.676056338,1,0,1,1,0,1,0,0,0,0.410089889,0.341158798,0,1,0,0,1,0,0,0,1,0,0
18,1,0,0,0,0.408450704,1,0,1,1,0,0,0,0,1,0.367132854,0.174743531,0,1,0,0,1,0,0,1,0,0,0
19,0,0,1,1,0.647887324,1,1,0,1,0,0,1,1,1,0.80719278,0.546776466,1,0,1,0,1,0,0,0,0,1,0
20,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0.716283706,0.734067354,0,1,0,0,0,0,1,0,1,0,0
21,1,0,0,1,0.225352113,1,0,0,0,0,0,1,1,1,0.461038924,0.124172805,1,1,0,0,1,0,0,0,0,0,1
22,1,1,1,0,0.985915493,1,1,1,1,1,1,0,0,1,0.77722275,0.780014471,0,0,1,0,0,0,1,0,1,0,0
23,0,1,1,0,0.014084507,1,0,0,0,1,0,1,1,1,0.768731257,0.018818089,0,0,1,0,1,0,0,0,1,0,0
24,1,0,1,1,0.366197183,1,0,1,1,1,1,0,0,0,0.475524484,0.21448923,0,1,0,0,0,1,0,0,0,0,1
25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.266733263,0.003051582,0,1,0,0,1,0,0,1,0,0,0
26,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0.812687316,0.836046837,0,0,1,0,0,0,1,1,0,0,0
27,0,0,0,0,0.056338028,1,0,0,0,0,0,0,0,1,0.510988973,0.034451668,1,0,1,0,1,0,0,0,0,1,0
28,1,0,0,0,0.633802817,1,0,0,0,1,0,0,0,1,0.561938084,0.407969952,0,0,1,0,1,0,0,0,1,0,0
29,0,0,0,0,0.464788732,1,1,0,1,1,0,1,1,1,0.877122849,0.408079757,1,0,1,0,1,0,0,0,0,1,0
30,1,0,0,0,0.14084507,1,1,0,0,1,0,1,1,1,0.792207765,0.12559457,1,0,1,0,1,0,0,1,0,0,0
31,0,0,1,1,0.126760563,1,0,0,1,0,0,0,0,0,0.309690297,0.052807399,0,1,0,0,0,1,0,0,0,0,1
32,1,0,1,1,0.971830986,1,1,1,1,0,0,1,0,1,0.505993968,0.561017205,0,1,0,0,0,0,1,0,1,0,0
33,1,0,0,0,0.873239437,1,1,1,1,1,1,1,0,1,0.612387588,0.559757283,0,1,0,0,0,0,1,0,1,0,0
34,1,0,1,0,0.169014085,1,1,1,1,0,1,1,0,1,0.575924037,0.111267159,0,1,0,0,1,0,0,0,0,1,0
35,1,0,0,0,0.676056338,1,1,0,0,0,0,0,1,1,0.658841149,0.44939748,0,0,1,0,1,0,0,0,0,1,0
36,0,0,0,0,0.014084507,1,0,0,1,0,0,0,0,0,0.306693302,0.009033377,0,1,0,0,1,0,0,0,0,0,1
37,1,0,0,0,0.014084507,1,0,0,0,0,0,1,0,1,0.620379626,0.014483455,1,0,1,0,1,0,0,0,0,1,0
38,0,0,0,0,0.718309859,1,1,1,0,0,1,1,1,1,0.611388602,0.485357585,0,1,0,0,0,0,1,0,1,0,0
39,1,0,1,1,0.957746479,1,1,1,0,1,1,0,0,1,0.455544464,0.489553544,0,1,0,0,0,0,1,0,1,0,0
40,1,1,0,0,0.591549296,1,1,0,1,0,0,1,0,1,0.716283706,0.44154313,0,0,1,0,1,0,0,0,0,1,0
41,1,0,0,0,0.197183099,1,0,1,1,0,0,1,1,1,0.804695277,0.162699035,1,0,1,0,1,0,0,0,1,0,0
42,1,1,1,0,0.338028169,1,1,1,0,0,1,1,0,1,0.508991001,0.200410348,0,1,0,0,1,0,0,0,1,0,0
43,1,1,1,0,0.098591549,1,1,0,1,0,0,0,0,1,0.620379626,0.071024417,1,0,1,0,1,0,0,0,1,0,0
44,1,1,1,1,0.830985915,1,0,1,1,1,1,0,1,1,0.562437539,0.512931669,0,1,0,0,0,1,0,0,1,0,0
45,0,1,0,0,0.23943662,1,1,0,0,0,0,1,1,1,0.768231726,0.200398792,1,0,1,0,1,0,0,0,0,1,0
46,1,0,1,1,0.873239437,1,1,1,0,0,0,1,1,1,0.810189813,0.727334223,0,0,1,0,0,1,0,0,1,0,0
47,0,1,1,1,0.915492958,1,1,0,1,1,1,1,1,1,0.898101854,0.815778078,0,0,1,0,0,1,0,0,0,1,0
48,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0.888611375,0.905632157,0,0,1,0,0,0,1,0,1,0,0
49,1,0,1,0,0.647887324,1,1,0,0,1,0,1,1,1,0.818681306,0.541915919,0,0,1,0,1,0,0,0,0,1,0
50,0,0,0,0,0.830985915,1,1,0,1,0,0,1,0,1,0.712787217,0.627868828,0,0,1,0,1,0,0,1,0,0,0
51,1,0,1,1,0.23943662,1,0,0,0,1,1,0,0,1,0.358141868,0.108452533,0,1,0,0,0,1,0,0,1,0,0
52,1,0,0,0,0.112676056,1,1,0,0,0,0,1,1,0,0.757742262,0.096910851,1,0,1,0,1,0,0,0,0,1,0
53,1,0,0,0,0.028169014,1,0,0,1,0,1,1,1,1,0.566933089,0.026036701,0,1,0,0,1,0,0,0,0,1,0
54,0,0,1,0,0.647887324,1,1,0,1,0,0,0,0,1,0.602897109,0.419765941,0,0,1,0,0,1,0,0,0,1,0
55,1,0,0,0,0.422535211,1,0,0,1,1,1,1,1,0,0.605894066,0.286473047,0,1,0,0,0,0,1,0,0,0,1
56,0,0,0,0,0.126760563,1,0,1,0,1,0,0,0,1,0.612387588,0.100390114,0,0,1,0,1,0,0,0,0,0,1
57,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.304695293,0.003490825,0,1,0,0,1,0,0,0,0,0,1
58,0,1,1,1,0.887323944,1,1,1,0,1,1,1,1,1,0.929570401,0.818396186,0,0,1,0,0,0,1,1,0,0,0
59,1,0,0,1,0.028169014,1,0,1,0,0,1,0,1,1,0.459040952,0.018326831,0,1,0,0,1,0,0,1,0,0,0
60,1,1,0,0,0.774647887,1,1,1,1,1,0,1,1,0,0.918581405,0.707487357,0,0,1,0,0,1,0,0,0,1,0
61,1,0,0,0,0.633802817,1,0,0,0,0,0,0,1,0,0.37062938,0.308625932,0,1,0,0,0,1,0,0,1,0,0
62,1,0,1,1,0.098591549,1,0,1,1,0,0,0,0,0,0.360639371,0.053564514,0,1,0,0,1,0,0,0,0,0,1
63,0,1,0,0,0.408450704,1,0,1,1,0,0,1,1,1,0.561438553,0.241866788,0,1,0,0,1,0,0,0,0,1,0
64,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0.607392583,0.006993209,1,0,1,0,1,0,0,0,0,1,0
65,1,0,1,0,0.084507042,1,0,0,0,1,0,0,0,1,0.565434572,0.05525791,1,0,1,0,1,0,0,1,0,0,0
66,1,0,0,0,0.577464789,1,0,0,1,1,1,1,1,1,0.85164837,0.498037856,0,0,1,0,1,0,0,1,0,0,0
67,0,0,0,0,0.112676056,1,1,0,1,0,0,1,1,1,0.806693325,0.10401965,0,0,1,0,1,0,0,0,1,0,0
68,1,0,1,0,0.478873239,1,0,1,0,0,0,1,0,1,0.435564444,0.253905499,0,1,0,0,0,1,0,1,0,0,0
69,0,0,1,1,0.408450704,1,0,0,1,1,0,0,0,0,0.634365655,0.294911134,0,0,1,0,1,0,0,1,0,0,0
70,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.560939022,0.006455714,0,0,1,0,1,0,0,0,0,1,0
71,0,0,1,1,0.915492958,1,1,1,0,1,1,1,1,1,0.653846144,0.658332611,0,1,0,0,0,0,1,0,0,0,1
72,1,0,0,0,0.901408451,1,1,1,1,1,0,1,1,1,0.924075941,0.819320907,0,0,1,0,1,0,0,0,1,0,0
73,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0.822677325,0.860014426,0,0,1,0,0,0,1,1,0,0,0
74,1,0,0,0,0.154929577,1,1,1,0,0,0,0,0,1,0.603396564,0.105013724,1,0,1,0,1,0,0,0,0,1,0
